stop_id,route_id,city,name,latitude,longitude,adv,shelter_rating,shelter_type,bench_rating,bench_type,trash_can_type,trash_can_rating
4,10,East Los Angeles,Ramona/Campus,34.05911,-118.17278,Not Present ,4,Other,3,Other,Other,2
1001,10,Monterey Park,East L.A. College,34.039463,-118.145211,Compliant,4,Other,4,Other,Other,3
1002,10,Whittier,Whittwood Mall 2nd stop,33.944394,-117.995832,Compliant,3,Other,3,Other,Other,3
1003,10,Monterey Park,Atlantic/Cesar Chavez,34.037396,-118.146826,Compliant,4,Other,4,Other,Other,3
1004,10,Whittier,Whittier/ Santa Gertrudes,33.944945,-117.994749,Compliant,4,Other,4,Other,Other,4
1005,10,East Los Angeles,Atlantic & Pomona,34.032938,-118.153208,Compliant,4,Other,4,Other,Other,3
1006,10,Whittier,Whittier/Scott,33.946543,-117.999061,Compliant,4,Other,4,Other,Not Present,Not Present
1007,10,East Los Angeles,Atlantic/4th,34.029632,-118.154591,Compliant,Not Present,Not Present,Not Present,Not Present,Not Present,Not Present
1008,10,Whittier,Whittier/Colima,33.948803,-118.006099,Compliant,4,Other,4,Other,Other,3
1009,10,East Los Angeles,Atlantic/Eagle,34.027325,-118.155311,Compliant,Not Present,Not Present,4,Other,Not Present,Not Present
1010,10,Whittier,Whittier/Mills,33.950667,-118.010166,Compliant,4,Other,4,Other,Other,4
1011,10,East Los Angeles,Atlantic/6th,34.02472,-118.156098,Compliant,2,Other,4,Other,Not Present,Not Present
1012,10,Whittier,Whittier/Gunn,33.95387,-118.01614,Compliant,Not Present,Not Present,4,Other,Other,3
1013,10,East Los Angeles,Atlantic/Hubbard,34.022371,-118.156791,Compliant,Not Present,Not Present,4,Other,Not Present,Not Present
1014,10,Whittier,Whittier/Ocean View,33.955765,-118.019492,Compliant,Not Present,Not Present,4,Other,Other,3
1015,10,East Los Angeles,Whitter/Atlantic,34.020123,-118.156516,Compliant,Not Present,Not Present,Not Present,Not Present,Not Present,Not Present
1016,10,Whittier,Whittier/Strub,33.958556,-118.024562,Compliant,4,Other,5,Other,Other,3
1017,10,Commerce,Whitter/Goodrich,34.019492,-118.153142,Compliant,Not Present,Not Present,Not Present,Not Present,Not Present,Not Present
1018,10,Whittier,Whittier/Michigan,33.959833,-118.026866,Compliant,4,Other,1,Other,Other,4
1019,10,Commerce,Whitter/Hoefner,34.018943,-118.150556,Compliant,Not Present,Not Present,4,Other,Not Present,Not Present
1020,10,Whittier,Whittier/Laurel,33.960984,-118.02896,Compliant,4,Other,4,Other,Other,3
1021,10,Commerce,Whitter/Gerhart,34.018281,-118.147475,Compliant,Not Present,Not Present,4,Other,Other,3
1022,10,Whittier,Whittier/Central,33.962251,-118.03108,Compliant,4,Other,4,Other,Other,3
1023,10,East Los Angeles,Whitter/Keenan,34.017834,-118.145407,Compliant,3,Other,4,Other,Other,3
1024,10,Whittier,Painter/Ramona,33.964222,-118.032611,Compliant,Not Present,Not Present,1,Other,Other,2
1025,10,East Los Angeles,Whittier/Leonard,34.017294,-118.142895,Compliant,4,Other,3,Other,Other,3
1026,10,Whittier,Painter/Russell,33.965711,-118.032617,Compliant,Not Present,Not Present,Not Present,Not Present,Not Present,Not Present
1027,10,East Los Angeles,Whitter/Findlay,34.016458,-118.138845,Compliant,Not Present,Not Present,Not Present,Not Present,Not Present,Not Present
1028,10,Whittier,Painter/La Cuarta,33.967846,-118.032624,Compliant,4,Other,4,Other,Other,3
1029,10,East Los Angeles,Whitter/Saybrook,34.015836,-118.136043,Compliant,4,Other,3,Other,Other,3
1030,10,Whittier,Painter/Walnut,33.971184,-118.032596,Compliant,Not Present,Not Present,3,Other,Other,3
1031,10,East Los Angeles,Whitter/Via Del Oro,34.015106,-118.132589,Compliant,Not Present,Not Present,Not Present,Not Present,Other,2
1032,10,Whittier,Painter/Mar Vista,33.973253,-118.032622,Compliant,4,Other,4,Other,Other,3
1033,10,Montebello,Whitter/Garfield,34.014523,-118.129676,Compliant,4,Other,5,Backless w/Â Dividers,Metal / Aluminum,4
1034,10,Whittier,Painter/Penn,33.975037,-118.032611,Not Present ,Not Present,Not Present,2,Other,Not Present,Not Present
1035,10,Montebello,Whitter/Concourse,34.013776,-118.126196,Compliant,3,Black Shelter,3,Backless w/Â Dividers,Metal / Aluminum,4
1036,10,Whittier,Painter/Wardman,33.977081,-118.032604,Compliant,Not Present,Not Present,Not Present,Not Present,Not Present,Not Present
1037,10,Montebello,Whitter/21st,34.01311,-118.122982,Compliant,4,Other,3,Backless w/Â Dividers,Metal / Aluminum,4
1038,10,Whittier,Philadelphia & Painter,33.979124,-118.033015,Compliant,Not Present,Not Present,4,Other,Other,4
1039,10,Montebello,Whitter/19th,34.012691,-118.121084,Compliant,Not Present,Not Present,3,Blue w/ Contract Stands,Not Present,Not Present
1040,10,Whittier,Philadelphia/Washington,33.979158,-118.034869,Compliant,4,Other,4,Other,Other,3
1041,10,Montebello,Whitter/Maple,34.011724,-118.117162,Compliant,4,Other,4,Backless w/Â Dividers,Metal / Aluminum,3
1042,10,Whittier,Philadelphia/Greenleaf,33.979173,-118.037764,Compliant,4,Other,3,Other,Other,3
1043,10,Montebello,Whitter/Taylor,34.011287,-118.114573,Compliant,4,Other,4,Backless w/Â Dividers,Metal / Aluminum,4
1044,10,Whittier,Philadelphia/Comstock,33.979165,-118.038969,Compliant,4,Other,Not Present,Not Present,Other,4
1045,10,Montebello,Whitter/Greenwood,34.010925,-118.112609,Compliant,4,Other,3,Backless w/Â Dividers,Metal / Aluminum,3
1046,10,Whittier,Philadelphia/Gregory,33.979168,-118.046358,Compliant,4,Other,4,Other,Other,4
1047,10,Montebello,Whitter & Montebello,34.009959,-118.107891,Compliant,4,Other,4,Backless w/Â Dividers,Metal / Aluminum,3
1048,10,Whittier,Philadelphia/Whittier,33.979151,-118.049017,Compliant,4,Other,1,Other,Other,4
1049,10,Montebello,Whitter/6th,34.009501,-118.105789,Compliant,4,Other,4,Backless w/Â Dividers,Metal / Aluminum,4
1050,10,Whittier,Whittier/Sorenson,33.981122,-118.050893,Compliant,4,Other,4,Other,Other,3
1051,10,Montebello,Whitter/4th,34.009294,-118.103962,Compliant,Not Present,Not Present,Not Present,Not Present,Not Present,Not Present
1052,10,Whittier,Whittier/Hadley,33.982594,-118.053083,Compliant,Not Present,Not Present,Not Present,Not Present,Not Present,Not Present
1053,10,Montebello,Whitter/2nd,34.008704,-118.102023,Compliant,4,Other,4,Backless w/Â Dividers,Metal / Aluminum,3
1054,10,WestWhittier-LosNietos,Whittier/Western,33.984073,-118.05528,Compliant,Not Present,Not Present,4,Other,Other,3
1055,10,Pico Rivera,Whitter/Myrtle,34.006032,-118.094916,Compliant,4,Other,4,Other,Other,3
1056,10,Whittier,Whittier/Broadway,33.985568,-118.05756,Compliant,4,Other,4,Other,Other,4
